"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,         210,      -15.53842487,      -15.59597156,      -15.19959005,      -13.74266412
          0,           0,         211,      -15.58025574,      -15.63691835,      -15.24025924,      -13.78449742
          0,           0,         212,      -15.62192985,      -15.67792272,      -15.28089166,      -13.82615554
          0,           0,         213,      -15.66371535,      -15.71844529,      -15.32135641,      -13.86795727
          0,           0,         214,      -15.70550713,      -15.75971679,      -15.36215326,       -13.9097246
          0,           0,         215,      -15.74728184,      -15.80041139,      -15.40264053,      -13.95151428
          0,           0,         216,      -15.78922341,      -15.84143617,      -15.44341734,      -13.99344647
          0,           0,         217,      -15.83095696,        -15.882502,      -15.48409993,      -14.03518516
          0,           0,         218,      -15.87272638,       -15.9228802,      -15.52454459,      -14.07695924
          0,           0,         219,      -15.91463886,       -15.9641407,      -15.56538765,      -14.11884838
          0,           0,         220,      -15.95640723,      -16.00479648,      -15.60586427,       -14.1606445
          0,           0,         221,      -15.99811898,      -16.04563954,      -15.64649446,      -14.20235361
          0,           0,         222,      -16.03995763,      -16.08671635,      -15.68722421,      -14.24419057
